id,source,source_url,ui_link,title,summary,solicitation_number,organization_name,organization_code,full_parent_path_name,base_type,type,posted_date,response_date,jurisdiction,state,naics,psc,set_aside,place_of_performance,budget_low,budget_high,additional_info_link,description_url,resource_links,url_pdf,description_text
ef0466a9ea5746ed9fbc35711bfd5bd6,sam,https://sam.gov/workspace/contract/opp/ef0466a9ea5746ed9fbc35711bfd5bd6/view,https://sam.gov/workspace/contract/opp/ef0466a9ea5746ed9fbc35711bfd5bd6/view,"Contract Delivery Service (CDS) HCR 956F6 ROSEVILLE MAIN OFFICE, CA - H004, CA",,801-690-26,SUPPLIES MATERIAL MGMT,,POSTAL SERVICE.POSTAL SERVICE.SUPPLIES MATERIAL MGMT,Solicitation,Solicitation,2026-03-28,2026-04-13T10:00:00-06:00,,CA,491110,V119,,CA,,,,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=ef0466a9ea5746ed9fbc35711bfd5bd6,,,"Contract Delivery Service (CDS) Contract Available:&nbsp;HCR 956F6 ROSEVILLE MAIN OFFICE, CA - H004, CA SOLICITATION CLOSES APRIL 13, 2026, AT 10:00 AM MOUNTAIN TIME&nbsp; Effective date of service is 10/01/2026. Solicitation Details and Proposal Submission Package are attached. See the Terms and Conditions for Instructions to Offerors. The Terms and Conditions and the&nbsp;Statement of&nbsp;Work are located&nbsp;in the Solicitation Details attachment. Complete and return the documents in the Proposal Submission Package to submit your proposal.&nbsp; Send the completed Proposal Submission Package documents to amy.warnecke@usps.gov .&nbsp; If you need to fax them, please use 651-456-6819. Thank you. Amy Warnecke, Contract Delivery Service Office, USPS&nbsp;&nbsp; Department email: CDS@usps.gov &nbsp;"
c5f87d90b8574a6e811d59d7ac0238f3,sam,https://sam.gov/workspace/contract/opp/c5f87d90b8574a6e811d59d7ac0238f3/view,https://sam.gov/workspace/contract/opp/c5f87d90b8574a6e811d59d7ac0238f3/view,Sources Sought - Clark AB Large Tents,,FA5270BK26_Tents,FA5270  18 CONS PK,,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.PACIFIC AIR FORCES.FA5270  18 CONS PK,Sources Sought,Sources Sought,2026-03-28,2026-03-31T10:00:00+08:00,,,532289,W099,NONE,,,,,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=c5f87d90b8574a6e811d59d7ac0238f3,,,"The purpose of this sources sought Request for Information (RFI) is to identify vendors capable of providing large tents for rental or purchase, to be used at Clark AB, Luzon Philippines. &nbsp;This notice is a request for vendor&#39;s capabilities, and does not serve as a solicitation. The general size of desired tents is 18 feet by 25 feet by 12 feet, but slight variations may be acceptable. Tents should also include flaps or windows for ventilation. Interested parties should respond with the following information: - Company Name - Mobilization or shipping time required to provide service - Details on types, dimensions, or other features of available tents - Can your company provide setup of the equipment - Can your company provide portable A/C units for the tents - If your company has worked on Clark AB or other APF installations previously - Any other information that would be beneficial to us in determining available options NOTE: This is a Request for Information (RFI) for market research purposes only and does not constitute a solicitation. The Government does not intend to award a contract on the basis of this RFI or to otherwise pay for the information solicited."
bbc607ec909e42d8ad4ca06b1e8d5ac7,sam,https://sam.gov/workspace/contract/opp/bbc607ec909e42d8ad4ca06b1e8d5ac7/view,https://sam.gov/workspace/contract/opp/bbc607ec909e42d8ad4ca06b1e8d5ac7/view,USNS GRASP Hawser Reels,,N3220526Q7111,MSCHQ NORFOLK,,DEPT OF DEFENSE.DEPT OF THE NAVY.MSC.MSC HQS.MSCHQ NORFOLK,Solicitation,Solicitation,2026-03-28,2026-04-08T10:00:00-04:00,,,332999,2040,SBA,,,,,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=bbc607ec909e42d8ad4ca06b1e8d5ac7,,,USNS GRASP Hawser Reels SF1449. To receive the drawing please return a technical&nbsp; NDA.
b6e6022d54574caeb476888484cd5341,sam,https://sam.gov/workspace/contract/opp/b6e6022d54574caeb476888484cd5341/view,https://sam.gov/workspace/contract/opp/b6e6022d54574caeb476888484cd5341/view,Sole Source Award for Pratt & Whitney Component Solutions Turbofan Engine Component,,FA910126PWCS,FA9101  AEDC PKP   PROCRMNT BR,,DEPT OF DEFENSE.DEPT OF THE AIR FORCE.AIR FORCE MATERIEL COMMAND.AIR FORCE TEST CENTER.FA9101  AEDC PKP   PROCRMNT BR,Presolicitation,Presolicitation,2026-03-28,2026-04-11T10:00:00-05:00,,TN,336412,1680,,TN,,,,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=b6e6022d54574caeb476888484cd5341,,,"Synopsis of Proposed Contract Action Action Title:&nbsp;Sole Source Award for Pratt &amp; Whitney Component Solutions (PWCS) Turbofan Engine Component Date:&nbsp;28 March 2026 Contracting Office Zip Code:&nbsp;37389 Product or Service Code (PSC):&nbsp;1680 (Miscellaneous Aircraft Accessories and Components) NAICS Code:&nbsp;336412 (Aircraft Engine and Engine Parts Manufacturing) Subject:&nbsp;Intent to Award a Sole Source Purchase Order for a PWCS Turbofan Engine Component Proposed Solicitation Number:&nbsp;TBD Contact Information: Point of Contact:&nbsp;Brooke Z. Vandeman Title:&nbsp;Contracting Officer Email:&nbsp;brooke.vandeman@us.af.mil Place of Performance: Arnold Air Force Base, TN 37389 Set-Aside Status: This action is being conducted on a sole-source basis with PWCS, the Original Equipment Manufacturer (OEM). Requirement Description The Government intends to negotiate and award a firm-fixed-price purchase order on a sole-source basis to PWCS for the procurement of a turbofan engine component. This is a Commercial-Off-The-Shelf (COTS) item required to support critical operations at Arnold Air Force Base. The basis for this sole-source determination is that PWCS is the only known source capable of meeting the Government&#39;s requirement. Market research, conducted via a Sources Sought notice and Request for Information, confirmed that PWCS is the OEM and the only vendor able to provide the item at a fair and reasonable price and within the required delivery schedule. A distributor&#39;s quote was determined to be uncompetitive in both price and lead time. Interested parties may identify their interest and capability to respond to the requirement. This notice of intent is not a request for competitive proposals. However, all information received within fifteen (15) days of the date of this synopsis will be considered by the Government. A determination by the Government not to compete this proposed contract based upon responses to this notice is solely within the discretion of the Government. See Attachment to this synopsis for further details. Special Considerations: Buy American (41 USC Ch. 83). This procurement is for an item manufactured in Canada. It is anticipated that this acquisition will be exempt from the Buy American statute under the U.S.-Canada-Mexico Agreement (USMCA) and reciprocal defense procurement agreements. Therefore, this procurement must be conducted in accordance with the provisions of the USMCA as implemented in RFO Part 25. Offers for products from other foreign sources will not be considered."
ae87a6d4cd1d4c79be8046a89db52a7c,sam,https://sam.gov/workspace/contract/opp/ae87a6d4cd1d4c79be8046a89db52a7c/view,https://sam.gov/workspace/contract/opp/ae87a6d4cd1d4c79be8046a89db52a7c/view,22 MEU Drones,,M2710026Q0001,COMMANDING GENERAL,,DEPT OF DEFENSE.DEPT OF THE NAVY.USMC.MARCORP I&L.COMMANDING GENERAL,Solicitation,Solicitation,2026-03-28,2026-03-27T03:00:00,,,336411,1550,SBA,,,,,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=ae87a6d4cd1d4c79be8046a89db52a7c,,,The 22d MEU is requiring 35 drones in order to complete mission requirements. Please see Salient Characteristics for specifications.
abc5e492f8964aa88de2590e291bbf7f,sam,https://sam.gov/workspace/contract/opp/abc5e492f8964aa88de2590e291bbf7f/view,https://sam.gov/workspace/contract/opp/abc5e492f8964aa88de2590e291bbf7f/view,"Two Phase Design-Build/Design-Bid-Build (DB/DBB) Multiple Award Task Order Contract (MATOC) for Construction of the Ground Based Strategic Deterrent (GBSD) Utility Corridor (UC) at Francis E. Warren Air Force Base (FEW AFB), Wyoming (WY)",,W9128F26RA017,W071 ENDIST OMAHA,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTHWESTERN.ENDIST OMAHA.W071 ENDIST OMAHA,Presolicitation,Presolicitation,2026-03-28,2026-04-30T14:00:00-05:00,,,237130,Y1NZ,,,,,,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=abc5e492f8964aa88de2590e291bbf7f,,,"Update 0002 (28 March 2026): The solicitation date is tentatively schedule for the week of 13 April 2026. A draft of the Phase Two solicitation requirements, evaluation criteria and Seed Project will be included to provide interested offerors a representative sample of task orders to be solicited under this contract. Update 0001 (6 March 2026): This acquisition has been updated to include Design-Bid-Build (DBB) as shown within the title. Reference the attached pre-solicitation notice and associated documents. Previously related notices were 1) W9128F25SM032 - Sources Sought Announcement of Ground Based Strategic Deterrent Utility Corridor, Francis E. Warren Air Force Base, Wyoming and 2) Industry Day - Ground Based Strategic Deterrent Utility Corridor, Francis E. Warren Air Force Base, Wyoming for reference."
8efc3a21ac9b47818bd18c63d418094e,sam,https://sam.gov/workspace/contract/opp/8efc3a21ac9b47818bd18c63d418094e/view,https://sam.gov/workspace/contract/opp/8efc3a21ac9b47818bd18c63d418094e/view,59--CLOSING RELAY ASSY,,N0010426QBQ17,NAVSUP WEAPON SYSTEMS SUPPORT MECH,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,Presolicitation,Presolicitation,2026-03-28,2026-05-12T00:00:00-04:00,,,,5945,SBA,,,,,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=8efc3a21ac9b47818bd18c63d418094e,,,"NSN 1H-5945-014966059-X3, TDP VER 002, QTY 1 EA, DELIVER TO W25G1U, W1A8 DLA DISTRIBUTION, NEW CUMBERLAND, PA 17070-5002. The rights to use the data needed to purchase/repair this part from additional source(s) are not owned by the Government and cannot be purchased, developed, or otherwise obtained. It is uneconomical to reverse engineer this part. The proposed acquisition is 100% set aside for small business concerns (see FAR clause 52.219-6, Notice of Total Small Business Set-Aside). The specific type of set-aside will be addressed in the solicitation through inclusion of one of the appropriate clauses listed here: FAR 52.219-3 Notice of HUBZone Set-Aside or Sole Source Award FAR 52.219-27 Notice of Service-Disabled Veteran-Owned Small Business Set-Aside FAR 52.219-29 Notice of Set-Aside for Economically Disadvantaged Women-Owned Small Business Concerns FAR 52.219-30 Notice of Set-Aside for Women-Owned Small Business Concerns Eligible Under the Women-Owned Small Business Program DFARS 252.226-7000 Notice of Historically Black College or University and Minority Institution Set-Aside Interested parties may obtain copies of Military and Federal Specifications and Standards, Qualified Products Lists (QPLs), Qualified Product Databases (QPDs), Military Handbooks, and other standardized documents from the DoD Single Stock Point (DODSSP) at Document Automation and Production Service (DAPS) in Philadelphia, PA. NOTE: Patterns, Drawings, Deviation Lists, Purchase Descriptions, etc. are NOT stocked at DODSSP. Most documents are available in Adobe PDF format from ASSIST-Online at: http://quicksearch.dla.mil/. Users may use ASSIST-Quick Search to search for and download available documents directly using standard browser software. Documents that are not available for downloading from ASSIST-Quick Search can be ordered from the DODSSP website using the ASSIST Shopping Wizard after obtaining a DODSSP Customer Account by following the registration procedures. Users who do not have access to the internet may contact the DODSSP ASSIST Help Desk at 215-697-2667 or 215-697-2179(DSN: 442-2667), or mail their requestDLA Document Services, Bldg. 4/D, 700 Robbins Avenue, Philadelphia PA 19111-5094. The proposed contract action is for supplies or services for which the Government intends to solicit and negotiate with only one source under the authority of FAR 6.302-1. All responsible sources may identify their interest and capability to respond to the requirement or submit proposals, quotations or capability statements. This notice of intent is not a request for competitive proposals. However, all proposals received within 45 days (30 days if award is issued under an existing Basic Ordering Agreement (BOA) after date of publication of this synopsis will be considered by the Government. A determination by the Government not to compete with this proposed contract based upon responses to this notice is solely within the discretion of the Government. Information received will normally be considered solely for the purpose of determining whether to conduct a competitive procurement. Based upon market research, the Government is not using the policies contained in FAR Part 12, Acquisition of Commercial Items, in its solicitation for the described supplies or services. However, interested persons may identify to the contracting officer their interest and capability to satisfy the Government's requirement with a commercial item within 15 days of this notice."
6e4d9a60aceb427da64f19a072fdf67c,sam,https://sam.gov/workspace/contract/opp/6e4d9a60aceb427da64f19a072fdf67c/view,https://sam.gov/workspace/contract/opp/6e4d9a60aceb427da64f19a072fdf67c/view,47--ADAPTER ASSEMBLY,,N0010426QBQ65,NAVSUP WEAPON SYSTEMS SUPPORT MECH,,DEPT OF DEFENSE.DEPT OF THE NAVY.NAVSUP.NAVSUP WEAPON SYSTEMS SUPPORT.NAVSUP WSS MECHANICSBURG.NAVSUP WEAPON SYSTEMS SUPPORT MECH,Presolicitation,Presolicitation,2026-03-28,2026-05-12T00:00:00-04:00,,,,4730,,,,,,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=6e4d9a60aceb427da64f19a072fdf67c,,,"NSN 1H-4730-015392102-X3, TDP VER 004, QTY 14 EA, DELIVER TO W25G1U, W1A8 DLA DISTRIBUTION, NEW CUMBERLAND, PA 17070-5002, DELIVER TO W62G2T, W1A8 DLA DIST SAN JOAQUIN, TRACY, CA 95304-5000. This part requires engineering source approval by the design control activity in order to maintain the quality of the part. Existing unique design capability, engineering skills, and manufacturing/repair knowledge by the qualified source(s) require acquisition/repair of the part from the approved source(s). The approved source(s) retain data rights, manufacturing/repair knowledge, or technical data that are not economically available to the Government, and the data or knowledge is essential to maintaining the quality of the part. An alternate source must qualify in accordance with the design control activity's procedures, as approved by the cognizant Government engineering activity. The qualification procedures must be approved by the Government engineering activity having jurisdiction over the part in the intended application. The proposed contract action is for supplies or services for which the Government intends to solicit and negotiate with only one source under the authority of FAR 6.302-1. All responsible sources may identify their interest and capability to respond to the requirement or submit proposals, quotations or capability statements. This notice of intent is not a request for competitive proposals. However, all proposals received within 45 days (30 days if award is issued under an existing Basic Ordering Agreement (BOA) after date of publication of this synopsis will be considered by the Government. A determination by the Government not to compete with this proposed contract based upon responses to this notice is solely within the discretion of the Government. Information received will normally be considered solely for the purpose of determining whether to conduct a competitive procurement. Based upon market research, the Government is not using the policies contained in FAR Part 12, Acquisition of Commercial Items, in its solicitation for the described supplies or services. However, interested persons may identify to the contracting officer their interest and capability to satisfy the Government's requirement with a commercial item within 15 days of this notice."
65d000a2345b4fa98303a31ccedb3042,sam,https://sam.gov/workspace/contract/opp/65d000a2345b4fa98303a31ccedb3042/view,https://sam.gov/workspace/contract/opp/65d000a2345b4fa98303a31ccedb3042/view,FY26 Willapa Sediment Characterization Service,,W912DW26QA035,W071 ENDIST SEATTLE,,DEPT OF DEFENSE.DEPT OF THE ARMY.US ARMY CORPS OF ENGINEERS.ENGINEER DIVISION NORTHWESTERN.ENDIST SEATTLE.W071 ENDIST SEATTLE,Solicitation,Solicitation,2026-03-28,2026-04-06T11:00:00-07:00,,WA,541620,B510,SBA,WA,,,,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=65d000a2345b4fa98303a31ccedb3042,,,"UPDATED INFORMATION PROVIDED.&nbsp; Please see updated PWS with changes outlined in 5.2.6 CLIN 6 - EIM Data. Additionally,&nbsp; there is a word document&nbsp; with questions and answers that were submitted by a potential vendor.&nbsp; Please see attached with updated information that may be beneficial in quote submission. ////&nbsp; END OF UPDATE //// PART 1 &ndash; GENERAL INFORMATION This is a non-personnel services contract to provide technical services for a sediment characterization in Willapa Bay, Washington (Figure 1). The U.S. Army Corps of Engineers (USACE) will not exercise any supervision or control over the contract service providers performing the services herein. Such contract service providers will be accountable solely to the Contractor who, in turn, is responsible to the USACE. 1.&nbsp; DESCRIPTION OF SERVICES / INTRODUCTION Provide all personnel, equipment, facilities, transportation, tools, materials, supervision, and other items and non-personal services necessary to perform the tasks for a sediment characterization in Willapa Bay as defined in this Performance Work Statement (PWS) except as specified in Section 3 as USACE-furnished property and services. Perform to the standards in this contract. &nbsp;2.&nbsp;&nbsp; BACKGROUND As authorized by Congress, the Seattle District, U.S. Army Corps of Engineers (USACE) is responsible for maintenance dredging of the Willapa Bay project components including the entrance channel at Tokeland Marina, the entrance channel and mooring basin access lane at Bay Center, and the entrance channel and mooring basin access lane at Nahcotta, in Pacific County, Washington. USACE last dredged portions of the Willapa Bay navigation project in 2002. Since then, the Port of Willapa has used a small private cutterhead dredge to maintain portions of the project every two to six years. USACE has continued to evaluate the project, with sediment testing completed in 2007 at Tokeland, 2011 at Bay Center, 2014 at Tokeland, Bay Center, and Nahcotta, and 2020 at Tokeland, Bay Center, and Nahcotta. In the most recent characterization, all dredged material was found to be suitable for open-water disposal (DMMP 2021). Table 1 summarizes details regarding the dimensions of project features and estimated volume above authorized depth. The USACE is responsible for dredging portions of the authorized project as needed to maintain navigation. 3.&nbsp; Previous Sediment Characterizations The navigation channel is ranked &ldquo;low&rdquo; by the Dredged Material Management Program (DMMP) agencies for concern for potential contamination. Descriptions of the historical characterization efforts follow. Tokeland 1991 . A single composited dredged material management unit (DMMU) sample representing the marina (including marina area P1) was collected in 1991 and analyzed for DMMP chemicals of concern (COCs). Three COCs (4-methylphenol, phenol, and pyrene) had detected exceedances; non-detect exceedances occurred for an additional number of chemicals. Bioassay testing was conducted, and the DMMP agencies determined that the dredged material was suitable for unconfined open-water disposal (DMMP 1991). 1998 . Twelve individual grab samples were collected in March 1998 and composited into three DMMUs to represent 76,000 cubic yards (CY) from the entrance channel, marina, and marina area P1. There were no COC detections or non-detect concentrations that exceeded the DMMP screening levels. All material was found suitable for open-water disposal (DMMP 1998a). 2006 . A total of eleven grab samples were collected from the entrance channel, marina, and marina area P1 in August 2006; the grab samples were composited into three composites to represent the entrance channel, marina, and marina area P1. Based on the two previous sequential testing rounds conducted in 1991 and 1998, the marina and marina area P1 were re-ranked from moderate to low-moderate for testing purposes. No COCs were detected above the DMMP screening levels. Five non-detected chemicals (hexachlorobenzene, dimethylphenol, benzoic acid, N-nitrosodiphenylamine, and alpha-chlordane) had detection limits that exceeded DMMP screening levels in one or all three DMMUs; bioassay testing was thus required for all three DMMUs. The results from the bioassay testing indicated that all of the material was suitable for unconfined open-water disposal (DMMP 2007). 2014 . Eight cores were collected from the entrance channel, marina, and marina area P1 in September 2014 and composited into four DMMUs (2 surface and 2 subsurface DMMUs). No COCs were detected above DMMP screening levels; three COCs (total chlordane, dieldrin, and heptachlor) were not detected with elevated reporting limits above their respective DMMP screening levels in all four DMMUs. All DMMUs samples were subsequently analyzed for the standard DMMP pesticide COCs using a high resolution method with lower reporting limits; using this method, all pesticides were non-detect with detection limits below the DMMP screening levels. Total dioxin Toxic Equivalencies (TEQs) were below the 15 pptr TEQ and 5 pptr 2,3,7,8-TCDD threshold concentrations for dispersive disposal in Willapa Bay. Total TEQs (U=1/2 reporting limit [RL]) ranged from 1.2 to 2.7 pptr. All material was found suitable for unconfined open-water disposal (DMMP 2015). 2020 . &nbsp;Nine cores were collected in August 2020. Material from the cores were composited into three DMMUs to represent the entrance channel, marina, and marina area P1. All material was found suitable for unconfined open-water/flow-lane disposal (DMMP 2021). &nbsp; Bay Center 1998 . Tier 1 no-test for 15,000 CY from Bay Center Entrance Channel, based on a 1993 grain size characterization that showed 99.7% sand from two samples (DMMP 1998b). 2001 . Vibracore samples characterized 38,000 CY of proposed dredged material. Cores were composited into three DMMUs: two surface and one subsurface DMMUs. Analyses included all routine DMMP COCs (including tributyltin [TBT], but no dioxin) and included special analyses for pesticides carbaryl and glyphosate. All chemicals were either detected or not detected below DMMP screening levels (SLs), and TBT was quantitated at levels well below the screening limit in the porewater of the three DMMUs characterized. All sediments were found suitable for open-water disposal (DMMP 2001). 2011 . Port of Willapa proposed 18,000 CY of dredging in shoals leading to the Bay Center Marina. Five individual grab samples were composited into one DMMU. Laboratory analysis was conducted for the standard DMMP COCs plus glyphosate and dioxins. There were no SL exceedances; dioxin TEQ (U=1/2 RL) was 1.36 pptr. All material was found suitable for open-water disposal (DMMP 2011). 2015 . Eight cores were composited into two surface DMMUs. Porewater TBT was not detected at 0.005 mg/L. Diethyl phthalate initially exceeded the SL in DMMU 2, but further replicated extractions and reanalysis did not replicate this finding. Because diethyl phthalate is a common laboratory contaminant, the DMMP concluded that the original finding was anomalous. Dioxin TEQs (U=1/2 RL) were 1.33 and 0.62 pptr, well below the 15 pptr TEQ threshold for Willapa Bay. All material was found suitable for open-water disposal (DMMP 2015). 2020 . To characterize approximately 72,000 CY, six cores were collected in the Inner Channel and composited into two DMMUs for laboratory analysis of the DMMP COC list. In the Palix River access lane, three grabs were composited for one DMMU analyzing total solids, total organic carbon, and grain size under the Tier 1 no-test exclusionary status. and all material was found suitable for open-water/flow-lane disposal (DMMP 2021). Nahcotta 2004 . In September 2003, cores were collected from a total of 17 locations and composited into four composite DMMUs to represent 145,000 CY of proposed dredging. Only standard DMMP COCs were analyzed for, and there were no detected or undetected results above screening levels. All material was found suitable for unconfined open-water disposal (DMMP 2004). 2015 . In September 2014, forty cores were collected and subsequently composited to represent eleven DMMUs, of which one was a subsurface DMMU. No COCs were detected above DMMP screening levels. Two COCs (total chlordane and heptachlor) were undetected with elevated reporting limits above their respective DMMP screening levels in two DMMUs. All DMMU samples were subsequently analyzed for the standard DMMP pesticide COCs using a high-resolution method with lower reporting limits; using this method, no pesticides were detected or not detected above the DMMP screening levels. TBT (porewater) was undetected at 0.005 mg/L. Total dioxin TEQs were below the 15 pptr TEQ and 5 pptr 2,3,7,8-TCDD threshold concentrations for dispersive disposal in Willapa Bay. Total TEQs (U=1/2 RL) ranged from 1.2 to 3.7 pptr. All material was found to be suitable for unconfined open-water disposal (DMMP 2015). 2020 . Sixteen cores were collected in the entrance channel and boat basin to characterize three surface and two subsurface DMMUs. Sampling was conducted in August 2020. The standard DMMP COC list was analyzed and no COCs were detected above DMMP screening levels. All material was found suitable for open-water/flow-lane disposal (DMMP 2021) OBJECTIVES The objectives for this contract are as follows: to prepare a sampling and analysis plan (SAP) that shall be suitable for submission to the DMMP agencies for approval; to sample and characterize the sediments in the proposed dredging area as described in the SAP; and to prepare a report to document characterization results that can then be used by DMMP to make a suitability determination. This PWS includes preparation of the SAP; sampling and testing of dredged material; data collection and analysis; and report preparation SCOPE Perform a sediment characterization in Willapa Bay. The services provided under this contract are detailed in Part 5 &ndash; Specific Tasks. PLEASE SEE ATTACHED PWS, EVALUATION CRITERIA, &amp; BID SCHEDULE for specific information and criteria for this acquisition.&nbsp;"
63752b862f5a4f2eab52e4bbd5faaecf,sam,https://sam.gov/workspace/contract/opp/63752b862f5a4f2eab52e4bbd5faaecf/view,https://sam.gov/workspace/contract/opp/63752b862f5a4f2eab52e4bbd5faaecf/view,"Refuse and Recycle Services for Aberdeen Proving Ground and Adelphi Laboratory Center, Maryland.",,W56ZTN-26-B-A002,W6QK ACC-APG DIR,,DEPT OF DEFENSE.DEPT OF THE ARMY.AMC.ACC.ACC-CTRS.ACC-APG.W6QK ACC-APG DIR,Presolicitation,Presolicitation,2026-03-28,2026-04-12T10:00:00-04:00,,,562111,S201,8A,,,,,https://api.sam.gov/prod/opportunities/v1/noticedesc?noticeid=63752b862f5a4f2eab52e4bbd5faaecf,,,"Refuse (Non Hazardous) and Recycling Services at Aberdeen Proving Ground (APG) and Adelphi Laboratory Center (ALC), Maryland. Contractor shall furnish all personnel, vehicles, and equipment required to perform refuse, recycling, roll-off support collection and removal."
